"time","ip","ua","kw","ts"
"2025-08-12T18:26:40+02:00","::1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Braces Price","1755015998853"
"2025-08-12T18:26:48+02:00","::1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","How Much are Braces","1755014240490"
"2025-08-12T18:26:59+02:00","::1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Braces for Teens","1755014240490"
